影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
我最好朋友的婚礼,陈飞宏,李潇;于淼,舒淇;冯绍峰;宋茜;叶青;凤小岳,喜剧;爱情,中国大陆 / 美国,汉语普通话,2016-08-05(中国大陆)
我有时候也想成为A片主人公,张成洙,徐佳淑,韩智恩;崔里浩;朴智秀,爱情,韩国,韩语,2015-11-12(韩国)
我朋友的妈妈,,,,,韩国,,2016-10-12(韩国)
我朋友的老姐,???,,???;???;???,剧情;情色,韩国,韩语,2016-03-10(韩国)
我杀死了巨人,安德斯·瓦尔特,乔·凯利;J·M·肯·尼姆拉,麦迪逊·沃尔夫;佐伊·索尔达娜;伊莫琴·普茨;悉德妮·韦德;罗丽·杰克逊;阿特·帕金森;詹妮弗·艾莉;唐·威彻利;诺埃尔·克拉克;本·卡罗兰;布兰登·马赫,剧情;惊悚;奇幻,美国 / 英国 / 比利时,英语,2017-09-09(多伦多电影节);2018-03-23(美国);2018-04-06(英国)
我来也,朱子奇,朱子奇,朱子奇;陈晨;蔡荣;陈烨林;溪格,剧情;动作;古装,中国大陆,汉语普通话,2016-11-22(中国大陆)
我爱你,秋昌旼,姜草;秋昌旼,宋在浩;李顺载;尹秀晶;金秀美;宋智孝;吴达洙,剧情;爱情,韩国,韩语,2011-02-17(韩国)
我的P.S.搭档,卞成贤,卞成贤,金雅中;池晟;申素率;金圣武,喜剧;爱情,韩国,韩语,2012-12-06(韩国);2013-02-21(香港)
我的“狐朋狗友”,霍猛,霍猛,王景春;佟悦;刘冠成;戴江,剧情;喜剧;爱情,中国大陆,汉语普通话 / 河南话,2016-01-29(中国大陆)
我的上高,钱泠泠,方天民,田小洁;耿黎明;易勇名;朴俊铭;张宇飞,剧情;战争,中国大陆,汉语普通话,2017-03-08(中国大陆)
我的个神啊,拉吉库马尔·希拉尼,拉吉库马尔·希拉尼;阿西奇·乔希,阿米尔·汗;安努舒卡·莎玛;桑杰·达特;博曼·伊拉尼;沙鲁巴·舒克拉;苏尚特·辛格·拉吉普特;帕里卡沙特.萨赫尼;阿马尔迪普·杰哈;瑞玛·德纳斯;迪伦德拉·德维韦迪;赛·甘德沃尔;拉姆·P·塞蒂,喜剧;奇幻,印度,印地语 / 英语 / 乌尔都语,2015-05-22(中国大陆);2014-12-19(印度)
我的亲密敌人,林常树,林常树,柳昇范;高俊熙;柳贤静;梁益准;金应洙;郑元中;金柱赫,剧情;动作;犯罪,韩国,韩语,2015-06-25(韩国)
我的僵尸女友,杰夫·拜纳,杰夫·拜纳,奥布瑞·普拉扎;约翰·C·赖利;戴恩·德哈恩;莫莉·香侬;切瑞·海恩斯;保罗·雷瑟;马修·格雷·古柏勒;安娜·肯德里克,喜剧;恐怖,美国,英语,2014-07-15(美国)
我的兄弟汤姆,Dom Rotheroe,,Jenna Harrison;Ben Whishaw;Honeysuckle Weeks,剧情,英国,英语,2001-09-22
我的初恋女孩,克勒姆·桑加,克勒姆·桑加,迪兰·格鲁拉;布里安娜·希德布兰德;马特奥·阿里亚斯;帕梅拉·阿德龙;蒂姆·海德克;卡梅伦·埃斯波西托;埃里克·格里芬;珍妮弗·普雷迪格;安娜·德拉·克鲁兹;劳拉·帕塔拉诺,剧情;喜剧;爱情;同性,美国,英语 / 西班牙语,2016-01-24(圣丹斯电影节);2016-10-18(美国)
我的叔叔,山下敦弘,须藤泰司;北杜夫,松田龙平;真木阳子;大西利空;户次重幸;寺岛忍;宫藤官九郎;木村绿子;银粉蝶;户田惠梨香,喜剧;家庭,日本,日语,2016-11-03(日本)
我的名字叫可汗,卡伦·乔哈尔,Shibani Bathija;Niranjan Iyengar,沙鲁克·汗;卡卓儿;肖恩·哈珀;Christopher B. Duncan;Carl Marino;Steffany Huckaby;Jennifer Echols;Harmony Blossom,剧情;爱情,印度,北印度语 / 乌尔都语 / 英语,2010-11-30(中国大陆);2010-02-12(印度)
我的吸血鬼老板,Brian James O'Connell,Ryan Mitts,弗兰·克朗茨;佩德罗·帕斯卡;伊薇特·耶茨,喜剧;恐怖,美国,英语,2015-09-04(美国)
我的国王,麦温,艾蒂安·科马尔;麦温,文森特·卡索;艾玛纽尔·贝克特;路易·加瑞尔;伊希尔·勒·贝斯柯;扬·戈旺;帕特里克·雷纳尔;克里斯托·圣·路易斯·奥古斯丁;保罗·艾米;费利克斯·博叙埃,剧情;爱情,法国,法语,2015-05-17(戛纳电影节);2015-10-21(法国)
我的天使,哈里·克莱文,哈里·克莱文;托马斯·冈兹格,Hannah Boudreau;Maya Dory;Fleur Geffrier;埃琳娜·勒文松;弗朗索瓦·温琴泰利,剧情;爱情;奇幻,比利时,法语,2016-10-10(锡切斯电影节);2017-05-03(比利时)
我的妈呀,李勇昌,李勇昌;丁仕昀;尹文钎;刘谨慷;李明杰,鲍起静;黄浩然;王菀之;叶良财;尹汇雰;高志森;李枫;陈安莹;蔡子洋;诗雅;黄侯升;陈美娥;伍昭斌;张咏华;傅志坚;陈川珲;陈泽耀;周蕊丽;张文盈;谭育怜,剧情,香港 / 马来西亚,粤语,2017-10-13(中国大陆);2016-11-24(香港)
我的妹妹小桃子,四分一节子 Setsuko Shibuichi,小出一巳;末永光代,間宮くるみ;内山昂辉;大石治人;内田直哉;伊藤健太郎;上野たまき;村上想太;浜美香;幸田夏穂;水谷优子;大島加代子;山野井仁;伊藤司;遠藤優斗;上野容;安原聡美;安斎龍太;木村雅史,动画;儿童,日本,日语,2003-07-23
我的家人和其他动物,谢雷·福克森,杰拉尔德·杜瑞尔;西蒙·尼耶,尤金·西蒙;马修·古迪;拉塞尔·托维;塔姆金·莫钦特;欧米德·吉亚李利;艾美达·斯丹顿;Chris Langham,剧情;喜剧,UK,English,2005-12-27
我的小小英雄,金成勋,,金来沅;赵安;李光洙,剧情,韩国,韩语,2013-01-09(韩国)
我的少女时代,陈玉珊,曾咏婷,宋芸桦;王大陆;李玉玺;简廷芮;刘德华;陈乔恩;言承旭;曲家瑞;屈中恒;钟欣凌;许杰辉;蔡颐榛;郭文颐;石知田;那维勋;林鹤轩;陈彦允;张立东;郑茵声;李绍祥,喜剧;爱情,台湾,汉语普通话,2015-11-19(中国大陆);2015-08-15(台湾)
我的帕瓦罗蒂,尹宗灿,刘英雅,李帝勋;韩石圭;姜素拉;吴达洙;赵震雄,剧情;音乐;传记,韩国,韩语,2013-03-14(韩国)
我的战争,彭顺,刘恒,刘烨;王珞丹;杨祐宁;叶青;黄志忠;王龙华,剧情;历史;战争,中国大陆,汉语普通话 / 英语,2016-09-15(中国大陆)
我的新野蛮女友,赵根植,李东河,宋茜;车太贤;藤井美菜;崔镇浩;裴晟祐,喜剧;爱情,韩国 / 中国大陆,韩语 / 汉语普通话,2016-04-22(中国大陆)
我的早更女友,郭在容,曹金玲;宝卿;严苏倩,周迅;佟大为;钟汉良;张梓琳;郭书瑶;陈辉虹;李静;白客;吴彼;莫熙儿,喜剧;爱情,中国大陆,汉语普通话 / 英语,2014-12-12(中国大陆)
我的朋友乔,Chris Bould,大卫·霍华德;德克兰·修格斯;Peter Pohl,斯科勒·费斯科;史蒂芬·麦克哈蒂;宝琳·麦克林,剧情;家庭,英国 / 德国 / 爱尔兰,英语,1996-08-29(德国)
我的朋友很少,及川拓郎,及川拓郎,濑户康史;北乃绮;大谷澪;高月彩良;神定真央;久保田纱友;山田萌々香;栗原类;渡边大;石原良纯,剧情,日本,日语,2014-02-01(日本)
我的极品女神,阚家伟;王光利,王晶;何洁;阙玥,郑伊健;周秀娜;何浩文;文凯玲;林子聪;郑欣宜;何佩瑜;任娇;钟采羲;刘敬雯;符晓薇;佘卓颖,喜剧;爱情;科幻,中国大陆,粤语,2016-07-07(中国大陆);2016-03-17(香港)
我的爱我的新娘,林赞相,金智慧;李明世,曹政奭;申敏儿;尹晶喜;黄贞敏;全茂松;罗美兰;徐康俊,喜剧;爱情,韩国,韩语,2014-10-08(韩国)
我的爸爸是森林之王,本·斯塔森;杰里米·德格鲁森,鲍勃·巴伦;卡尔·布伦克尔,帕皮·福克纳;克里斯托弗·L·帕森;玛莉芙·赫林顿;泰伦斯·斯通;乔·托马斯;乔·奥克曼;莱拉·贝尔津什;桑迪·福克斯;迈克尔·索里奇;约翰尼·卫斯理;布洛迪·赫辛;乔治·巴比特;汤姆·布兰克;小巴里·D·巴克纳;乔伊·卡门;辛达·亚当斯;玛丽·德文;杰夫·道切特;大卫·埃普斯特恩;凯尔·赫伯特;史蒂夫·克拉默;柯克·桑顿;尤里·洛文塔尔;莱克斯·朗;塔拉·普拉特;罗杰·克莱格·史密斯;尼古拉斯·玛吉,喜剧;动画;冒险,法国 / 比利时,法语 / 英语,2017-10-14(中国大陆);2017-07-26(荷兰);2017-08-16(法国)
我的特工爷爷,洪金宝,江均,洪金宝;刘德华;朱雨辰;李勤勤;冯嘉怡;陈沛妍;胡军;冯绍峰;彭于晏;宋佳;徐克;麦嘉;石天;元彪;元秋;元华;吴明才;元宝,剧情;动作;冒险,香港 / 中国大陆,汉语普通话 / 粤语,2016-04-01(中国大陆/香港)
我的独裁者,李海准,李海准,薛耿求;朴海日;尹宰文;李炳俊;柳慧英,剧情,韩国,韩语,2014-10-30
我的男人,熊切和嘉,宇治田隆史;桜庭一樹(原作),浅野忠信;二阶堂富美;茂吕师冈;河井青叶;三浦诚己;广冈由里子;安藤玉惠;竹原皮斯托;太贺;相乐树;康巢恩;吉本菜穂子;松山爱里;奥瀬繁;吉村実子;三浦贵大;高良健吾;藤龙也,剧情;爱情,日本,日语,2014-06-14(日本)
我的男友和狗,陈慧翎,叶?乃?菁?;原田舞叶,张钧甯;何润东;赖佩霞;丁春诚;薛仕凌;黄姵嘉;池端玲名;日比野玲;谢琼煖;吴朋奉;郑有杰;梁赫群,爱情,台湾 / 日本,汉语普通话 / 日语,2015-06-19(中国大陆);2014-05-09(台湾);2014-05-31(日本)
我的英格兰,马克·吉尔,马克·吉尔;威廉·萨克,杰克·劳登;杰西卡·布朗·芬德利;朱迪·科默;彼得·麦克唐纳德;劳利·基纳斯顿;西蒙妮·柯比;亚当·劳伦斯;凯瑟琳·皮尔斯;芬尼·卡西迪;格雷姆·霍利,剧情;音乐;传记,英国,英语,2017-07-02(爱丁堡电影节);2017-08-04(英国)
我的见鬼女友,黄仁镐,黄仁镐,孙艺珍;李民基;朴哲民;金贤淑;尹智敏,喜剧;爱情;惊悚,韩国,韩语,2011-12-01(韩国)
我的青春期,郝杰,郝杰;葛夏,包贝尔;孙怡;冯四;杜焕荣;兰江;史越;胡河川;周彪;吉祥;王鹏,剧情;爱情,中国大陆,汉语普通话,2015-11-11(中国大陆)
我的鬼学长,韦西·沙赞那庭,韦西·沙赞那庭,Ploychompoo Jannine Parawie Weigel;Bom Pongsakorn,爱情;恐怖,泰国,泰语,2015-12-03(泰国)
我的黄金时代,毛钧,毛钧;蔡楠,蔡楠;黄鹤,,中国大陆,中文,
我的黑色小礼服,许仁茂,许仁茂;Min-Seo Kim,尹恩惠;朴寒星;刘仁娜;车艺莲;申东浩;高昌锡 Chang-Seok Ko,剧情,韩国,韩语,2011-03-24(韩国)
我盛大的希腊婚礼2,柯克·琼斯,妮娅·瓦达拉斯,妮娅·瓦达拉斯;约翰·考伯特;埃莱娜·康博里斯;莱妮·卡赞;迈克尔·康斯坦丁;安德列·马丁;伊恩·戈麦斯;格里·曼迪西诺;亚历克斯·沃尔夫;约翰·斯塔莫斯;丽塔·威尔逊;乔伊·费通;吉娅·卡迪斯;路易·曼迪勒,喜剧;爱情,美国,英语,2016-03-25(美国)
我美丽的守护天使,Roberto Faenza,,Iain Glen;Emilia Fox,剧情;爱情;传记;战争,意大利 / 法国 / 英国,英语,2003-10-30
我能说,金炫锡,金炫锡,罗文姬;李帝勋;廉惠兰;朴哲民;李尚熙;李知勋;郑妍周;金素真,剧情;喜剧,韩国,韩语 / 英语,2017-09-21(韩国)
我被爸爸绑架了,岸善幸,岸善幸,妻夫木聪;丰岛花;木南晴夏;夏帆;新井浩文;室毅;满岛光;八千草薰,剧情;家庭,日本,日语,2016-08-02(日本)
我要发达,黄柏基,叶念琛;潘幸枝,林盛斌;麦玲玲;黄光亮;吴浣仪;朱咪咪;邵音音;唐诗咏;庄思敏;河国荣;陈嘉桓;卢海鹏;陆骏光;孙慧雪;岑日珈;姜丽文;余震东;黄宇希;伍倩彤,剧情,香港,粤语 / 汉语普通话,2017-01-19(香港)
我，花样女王,克雷格·吉勒斯佩,斯蒂芬·罗杰斯,玛格特·罗比;塞巴斯蒂安·斯坦;艾莉森·珍妮;凯特琳·卡弗;麦肯娜·格瑞丝;鲍比·坎纳瓦尔;博亚娜·诺瓦科维奇;朱丽安妮·尼科尔森;凯萨琳·戴尔;保罗·沃尔特·豪泽;约书亚·米克尔;埃文·乔治·沃拉泽里斯;卡拉·曼特拉;杰森·戴维斯;凯莉·弗雷泽;安东尼·雷诺兹;杰森·麦克唐纳;迈尔斯·穆森登,剧情;喜剧;传记;运动,美国,英语,2018-05(中国大陆);2017-09-08(多伦多电影节);2017-12-08(美国)
戒指,阿曼德·马斯楚安尼,Danielle Steel;Nancy Sackett;Carmen Culver,娜塔莎·金斯基;麦克尔·约克;鲁伯特·彭利-琼斯,剧情;爱情;战争,美国,英语,1996-10-20(美国)
战争房间,埃里克斯·肯德里克,埃里克斯·肯德里克;斯蒂芬·肯德里克,凯伦·阿伯克龙比;普里西拉·C·夏勒;T·C·斯托林斯;特纳·唐宁;阿勒娜·皮特;贝思·摩尔;小迈克尔;雅丹·哈里斯;诺埃尔·贝克,剧情,美国,英语,2015-08-28
战争机器,大卫·米奇欧德,大卫·米奇欧德;迈克尔·黑斯廷斯,布拉德·皮特;安东尼·海斯;约翰·马加罗;安东尼·迈克尔·豪尔;艾莫里·科恩;托弗·戈瑞斯;丹尼尔·贝茨;艾蒙·汉道奇;RJ·赛勒;阿兰·卢克;尼古拉斯·琼斯;威尔·保尔特;勒凯斯·斯坦菲尔德;本·金斯利;梅格·提利;蒂尔达·斯文顿,剧情;喜剧;战争,美国,英语,2017-05-26(美国)
战前童年,布拉迪·科贝特,布拉迪·科贝特;莫娜·法斯特欧德,罗伯特·帕丁森;斯塔西·马汀;利亚姆·坎宁安;贝热尼丝·贝乔;卡罗琳·博尔顿;丽贝卡·达扬;苏菲·柯蒂斯;卢卡·伯科维奇;汤姆·斯威特;友兰达·梦露;米迦勒·埃普;斯科特·亚历山大·杨;罗德里克·希尔;杰瑞米·惠勒,剧情;悬疑;恐怖,英国 / 法国 / 匈牙利,英语 / 法语 / 德语,2015-09-05(威尼斯电影节);2016-08-19(英国)
战场上的小人球,克劳斯·哈洛,吉米·卡尔森;Kirsi Vikman,Topi Majaniemi;玛丽亚·朗德奎斯特;Marjaana Maijala;迈克尔·恩奎斯特;艾斯可·萨尔米宁,剧情,芬兰 / 瑞典,芬兰语 / 瑞典语,2005-09-30
战斧骨,S·克雷格·扎勒,S·克雷格·扎勒,帕特里克·威尔森;库尔特·拉塞尔;莉莉·西蒙斯;肖恩·杨;扎恩·迈克拉农;马修·福克斯;大卫·阿奎特;凯瑟琳·莫里斯;希德·黑格;理查德·詹金斯;迈克尔·帕尔;杰米·埃克托;詹姆斯·托根,恐怖;西部,美国,英语,2015-10-23(美国)
战火遗孤,Yurek Bogayevicz,尤瑞克 保佳耶维奇 (Yurek Bogayevicz),Haley Joel Osment;Willem Dafoe,剧情;战争;犯罪,美国 / 波兰,英语,2002-07-18
战火重生,马赫桑·科米兹古,马赫桑·科米兹古,Cem Aksakal;Cezmi Baskin;Bugra Gulsoy,剧情,土耳其,土耳其语,2009-03-13
战犬瑞克斯,加芙列拉·考珀斯维特,帕梅拉·格雷;安妮·玛莫罗;蒂姆·洛夫斯特特,凯特·玛拉;汤姆·费尔顿;布莱德利·惠特福德;杰拉丁妮·詹姆斯;科曼;埃迪·法可;威尔·帕顿;拉蒙·罗德里格兹;珊农·塔伯特;米格尔·戈麦斯;乔纳森·霍华德;乔治·韦伯斯特;克里·约翰逊;山姆·基利;凯萨琳·戴尔;迈尔斯·穆森登;玛丽娜·马修斯;帕克·索耶,剧情;传记;战争,美国,英语,2018-05-11(中国大陆);2017-05-07(蒙特克莱电影节);2017-06-09(美国)
战狼,吴京,吴京;刘毅;董群;高岩,吴京;余男;斯科特·阿金斯;凯文·李;倪大红;凯尔·夏皮罗;石兆琪;周晓鸥;房子斌;郭广平;茹萍;洪卫;刘腾远;索纳·伊姆贝;塞缪尔·西维尔奇,动作;战争,中国大陆,汉语普通话 / 英语,2015-04-02(中国大陆)
战狼2,吴京,吴京;董群;刘毅,吴京;弗兰克·格里罗;吴刚;张翰;卢靖姗;丁海峰;淳于珊珊;余男;于谦;石兆琪;海蒂·莫尼梅克;奥列格·普鲁迪乌斯;艾伦·托尼;赛尔·哈里斯;高明;王森;苇青;程愫;张永达;郭秋成;杜建桥;周冠廷;安·詹姆斯;黛安娜·希拉;孙率航;张馨月;关海龙;安妮塔·斯图尔特;特雷弗·琼斯;奥斯汀·普里斯特;克莱·方特诺特;保罗·艾力卡;丹尼尔·哈格里夫;李镇男;庄小龙;陈云志;肯尼迪,动作,中国大陆,汉语普通话 / 英语,2017-07-27(中国大陆)
战猪,瑞恩·雷特尔,Adam Emerson;Andrew Kightlinger;Steven Luke,鲁克·高斯;杜夫·龙格尔;查克·林德尔;米基·洛克;诺阿·西甘;Steven Luke;瑞恩·凯利;Jake Stormoen;K·C·克莱德;Randy Beard;Apostolos Gliarmis;Kellie Hamilton;Nate Harward;Maclain Nelson;Angie Papanikolas,剧情;动作;战争,美国,英语,2015-05-17(法国);2015-09-18(美国)
战略特勤组,格雷格·乔丹,皮特·伍德瓦德,麦克·辛;塞缪尔·杰克逊;凯瑞-安·莫斯;布兰登·罗斯;Necar Zadegan;斯蒂芬·鲁特;吉尔·贝罗斯;马丁·唐文;Yara Shahidi,剧情;悬疑;惊悚,美国,英语,2011-07-10(中国大陆);2010-06-15(美国)
战神阿瑞斯,让-帕特里克·贝内斯,让-帕特里克·贝内斯;本杰明·杜帕斯;阿伦·毛德特,奥拉·拉佩斯;米沙·莱斯科特;蒂埃里·汉西斯;埃莱娜·菲利埃;鲁斯.维嘉.费尔南德茨;伊娃·拉利耶;路易多·德·朗克桑;艾利娜·所罗门;伊冯·马丁;皮埃尔·派瑞尔;艾米丽·加瓦·卡恩;乔·普雷斯蒂亚;戴维·米金特;文森特·帕里斯;菲利普·帕布兰克,剧情;科幻;惊悚,法国,法语,
战神：只是爱着你 电影版,耶云哉治,大石哲也,藤谷太辅;洼田正孝;饭丰万理江;山崎纮菜;稻叶友;福原遥;前田公辉,爱情,日本,日语,2016-06-18(日本)
战锤40000：极限战士,Martyn Pick,Dan Abnett,Sean Pertwee;Steven Waddington;Donald Sumpter;Johnny Harris;Ben3e Bishop,科幻;动画,英国,英语,2010-11-29
战马,史蒂文·斯皮尔伯格,李·哈尔;理查德·柯蒂斯,杰瑞米·艾文;彼得·穆兰;艾米丽·沃森;本尼迪克特·康伯巴奇;汤姆·希德勒斯顿;大卫·休里斯;尼尔斯·阿贺斯图普;席琳·邦金斯;大卫·克劳斯;托比·凯贝尔;帕特里克·肯尼迪,剧情;战争,美国,英语 / 德语,2012-02-28(中国大陆);2011-12-25(美国)
战鼓,Koen Mortier,,Dries Van Hegen;Norman Baert;Gunter Lamoot,剧情;喜剧;音乐;犯罪,比利时,荷兰语 / 荷兰语,2007-01-31
戴夫造了个迷宫,比尔·沃特森,史蒂文·西尔斯;比尔·沃特森,梅拉·罗希特·库姆巴尼;尼克·图恩;亚当·布斯奇;詹姆斯·乌尔班尼亚克;弗兰克·凯提;斯科特·纳维;斯蒂芬妮·阿琳;克斯汀·范奈丝;斯科特·克林斯基;蒂莫西·诺德温德;约翰·赫宁甘;瑞克·欧弗顿;卡米拉·艾尔内斯;德鲁·尼加;艾蒂安·埃克特;布里特妮·多伊奇;杰西卡·格拉夫斯,喜剧;恐怖;冒险,美国,英语,2017-01-21(斯兰丹斯电影节);2017-08-18(美国)
戴维克罗的恋爱和魔法,犬童一心,菅野友惠;中村航,相叶雅纪;荣仓奈奈;韩孝周;生田斗真;小市慢太郎;渡边真起子;塚地武雅;岸井雪乃;市川实和子;温水洋一;クリス?ペプラー;剧团一人,爱情,日本,日语,2014-11-22(日本)
房间,伦尼·阿伯拉罕森,艾玛·多诺霍,布丽·拉尔森;雅各布·特伦布莱;琼·艾伦;肖恩·布里吉格斯;威廉姆·H·梅西;梅根·帕克;阿曼达·布鲁盖尔;卡斯·安瓦尔;乔·平格;温迪·古逊;兰道尔·爱德华;杰克·富尔顿;汤姆·麦卡穆斯,剧情;家庭,爱尔兰 / 加拿大 / 英国 / 美国,英语,2015-09-04(特柳赖德电影节);2015-10-23(多伦多);2016-01-15(爱尔兰/英国);2016-01-22(美国)
所以……和黑粉结婚了,金帝荣,耿国鑫;汪燕;金恩静,朴灿烈;袁姗姗;姜潮;徐珠贤;赵韦至,喜剧;爱情,中国大陆 / 韩国,汉语普通话 / 韩语,2016-06-30(中国大陆)
所有美好的东西,安德鲁·杰瑞克奇,安德鲁·杰瑞克奇;马克·斯默林,瑞恩·高斯林;克斯汀·邓斯特;克里斯汀·韦格;弗兰克·兰格拉;莉莉·拉贝,剧情;悬疑;惊悚,美国,英语,2010-12-13(美国)
所爱非人,宋灏霖,缪倩;宋灏霖,任欣羽;李雅男,爱情;科幻,中国大陆,汉语普通话,2016-10-04(中国大陆);2016-06-14(上海国际电影节)
所罗门的伪证前篇：事件,成岛出,宫部美雪;真边克彦,藤野凉子;板垣瑞生;石井杏奈;清水寻也;富田望生;前田航基;望月步;西村成忠;西畑澪花;若林時英;加藤幹夫;石川新太;佐佐木藏之介;夏川结衣;永作博美;小日向文世;黑木华;尾野真千子,惊悚,日本,日语,2015-03-07(日本)
所罗门的伪证后篇：审判,成岛出,宫部美雪;真边克彦,藤野凉子;板垣瑞生;石井杏奈;清水寻也;富田望生;前田航基;望月步;西村成忠;西畑澪花;若林時英;加藤幹夫;石川新太;佐佐木藏之介;夏川结衣;永作博美;小日向文世;黑木华;尾野真千子;松重丰,剧情;惊悚,日本,日语,2015-04-11(日本)
手塚治虫的佛陀2：无尽的旅程,小村敏明,吉田玲子,松山研一;吉永小百合;吉冈秀隆;観世清和;水树奈奈;真木阳子,剧情;动画,日本,日语,2014-02-08(日本)
手机,金奉柱,金奉柱,孙贤周;严志媛,动作;惊悚,韩国,韩语,2015-10-22(韩国)
扑克之夜,Greg Francis,Greg Francis,吉安卡罗·埃斯波西托;朗·普尔曼;博·米尔乔夫;朗·埃达德;洛奇林·莫罗;提图斯·维里沃;科里·拉奇;豪斯顿·塞奇;迈克尔·艾克朗德;Kieran Large;查德·克罗彻克;Dean Wray;Lauren Donnelly;Grizz Salzl,动作;惊悚;犯罪,美国 / 加拿大,英语,2014-12-05(美国)
扑通扑通我的人生,李在容,崔民硕;李在容;吴晓珍,宋慧乔;姜栋元;曹成穆;白日燮;许俊硕;金素真;车银优;李圣旻;金甲洙;金仁泰,剧情;家庭,韩国,韩语,2015-03-13(中国大陆);2014-09-03(韩国)
打拳架,里奇·基恩,范·罗比查乌克斯;埃文·萨瑟;马克思·格林菲尔德,查理·戴;艾斯·库珀;克里斯蒂娜·亨德里克斯;吉莉恩·贝尔;乔安娜·加西亚;迪恩·诺里斯;丹尼斯·海斯伯特;马克斯·卡维尔;崔西·摩根;查理·卡维尔;因德尔·库马尔;金·惠特利;斯蒂夫妮·韦尔;奥图姆·戴尔,喜剧,美国,英语,2017-02-17(美国)
打虎英雄穆卢干,Vysakh,Udaykrishnan,莫哈恩拉;Kamalinee Mukherjee;Jagapathi Babu,动作;惊悚,印度,马拉亚兰语,2016-10-07
打车惊魂,Brian Frank Visciglia,Kat Silvia;Brian Frank Visciglia;Dustin Frost,David Wachs;Jessica Serfaty;Ronnie Alvarez,恐怖,美国,英语,2017-09-15(美国)
托尼·厄德曼,玛伦·阿德,玛伦·阿德,彼得·西蒙尼舍克;桑德拉·惠勒;米夏埃尔·维滕博恩;托马斯·洛伊布尔;特里斯坦·皮特;哈德维奇·米尼斯;露西·拉塞尔;英格丽·比苏;弗拉德·伊凡诺夫;维多利亚·寇提亚斯;拉杜·班泽鲁;尼尔斯·博尔曼;英格里德·布尔克哈德,剧情;喜剧,德国 / 奥地利,德语 / 英语 / 罗马尼亚语,2016-05-14(戛纳电影节);2016-07-14(德国)
扫毒,陈木胜,陈木胜;文隽;凌志民;黄进;谭惠贞,刘青云;张家辉;古天乐;袁泉;卢海鹏;吴廷烨;林国斌;卢惠光;吴岱融;宝儿;马浴柯;释彦能;罗兰;李兆基;维他亚·潘斯林加姆,剧情;动作;悬疑;犯罪,中国大陆 / 香港,汉语普通话 / 粤语 / 泰语 / 英语,2013-11-29(中国大陆);2013-12-05(香港)
承诺,索分·沙达菲斯,索分·沙达菲斯;Sopana Chaowiwatkul;Supalerk Ningsanond,楠迪·宗拉维蒙;安比查雅·松可寒;Thunyaphat Pattarateerachaicharoen;Panisara Rikulsurakan;Duentem Salitul;Benjamin Joseph Varney;Suchada Poonpattanasuk;Surachai Ningsanond;Teerapop Songwaja;Duangjai Hiransri,剧情;惊悚;恐怖,泰国,泰语,2017-09-07(泰国)
把爸爸借给你,Kim Deok-Soo,Kim Deok-Soo,金相庆;文晶熙;蔡贞安;赵在允;南宝拉,喜剧,韩国,韩语,2014-11-20(韩国)
抓住那个家伙,郑根燮,郑根燮,金相庆;严正化;宋永彰;曹熙奉;刘承睦;李俊赫;朴哲民,剧情;惊悚;犯罪,韩国,韩语,2013-05-16(韩国)
投靠女与出走男,原田真人,井上厦;原田真人,大泉洋;户田惠梨香;满岛光;内山理名;阳月华;木村绿子;木场胜己;神野三铃;武田真治;北村有起哉;桥本润;山崎一;磨赤儿;中村贺津雄;树木希林;堤真一;山崎努;高畑淳子,剧情;喜剧,日本,日语,2015-05-16(日本)
折磨,德里克·李;克里夫·普洛斯,德里克·李;克里夫·普洛斯,德里克·李;克里夫·普洛斯;迈克尔·吉尔;芭娅·莱哈兹;本杰明·泽图恩;扎克·格雷;杰森·李;伊度·凡·布里曼;加里·雷德科普;莉莉·皮·李;艾伦·弗格森,悬疑;惊悚;恐怖,加拿大 / 美国,英语 / 法语 / 意大利语,2013-09-09(多伦多电影节);2014-04-04(美国)
抛开自我空间,迈克·尼科尔斯,Margaret Edson;艾玛·汤普森;迈克·尼科尔斯,艾玛·汤普森;克里斯托弗·洛伊德;艾琳·阿特金斯;奥德拉·麦克唐纳;乔纳森·M·伍德沃德;哈罗德·品特,剧情,美国 / 英国,英语,2001-02-09
抢劫坚果店2,卡尔·布伦克尔,鲍勃·巴伦;卡尔·布伦克尔;斯科特·宾德利;彼得·莱佩尼奥蒂斯;丹尼尔·吴,威尔·阿奈特;凯瑟琳·海格尔;玛娅·鲁道夫;成龙;伊莎贝拉·莫奈;彼得·斯特曼;鲍比·坎纳瓦尔;鲍比·莫尼汉;杰夫·唐纳姆;加布里埃尔·伊格莱西亚斯;塞巴斯蒂安·马尼斯科;汤姆·肯尼;凯瑞·华格伦;罗伯特·丁克勒;朱莉·勒米厄,喜剧;动画;冒险,加拿大 / 韩国 / 美国 / 中国大陆,英语,2017-08-11(加拿大/美国)
护工故事,罗布·伯内特,罗布·伯内特;Jonathan Evison,保罗·路德;赛琳娜·戈麦斯;詹妮弗·艾莉;克雷格·罗伯兹;梅根·弗格森;弗雷德里克·韦勒;阿什利·怀特,剧情,美国,英语,2016-01-31(圣丹斯电影节);2016-06-24(美国)
